id,provincia,poblacion
0,República Dominicana,10448499
1,Distrito Nacional,1043186
2,Azua,222256
3,Baoruco,101005
4,Barahona,189177
5,Dajabón,66467
6,Duarte,298913
7,Elías Piña,63402
8,El Seibo,93508
9,Espaillat,239845
10,Independencia,58424
11,La Altagracia,353406
12,La Romana,272597
13,La Vega,411290
14,María Trinidad Sánchez,141097
15,Monte Cristi,117221
16,Pedernales,34997
17,Peravia,197434
18,Puerto Plata,333221
19,Hermanas Mirabal,92148
20,Samaná,112160
21,San Cristóbal,637429
22,San Juan,221736
23,San Pedro de Macorís,304966
24,Sánchez Ramírez,151978
25,Santiago,1045169
26,Santiago Rodríguez,57266
27,Valverde,176720
28,Monseñor Nouel,174278
29,Monte Plata,191033
30,Hato Mayor,85762
31,San José de Ocoa,54405
32,Santo Domingo,2906003